PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,13.71,17.67,19.47,20.52,19.14,14.09,16.13,14.15,13.92,16.73,15.44,12.55,16.12
ALLSKY_SFC_SW_DWN,2012,12.67,18.21,19.38,19.85,19.99,15.66,15.74,16.82,14.56,16.57,14.16,12.78,16.36
ALLSKY_SFC_SW_DWN,2013,14.2,17.98,20.17,20.58,14.08,17.47,16.89,15.49,14.92,14.34,16.34,13.31,16.29
ALLSKY_SFC_SW_DWN,2014,13.9,16.77,20.41,21.95,20.74,14.95,16.63,14.89,16.96,16.97,15.05,12.99,16.85
ALLSKY_SFC_SW_DWN,2015,13.63,16.9,20.54,18.91,20.31,14.09,11.82,14.54,14.56,15.45,15.08,10.41,15.51
ALLSKY_SFC_SW_DWN,2016,12.16,14.44,17.69,19.13,18.22,18.06,13.99,15.72,16.33,15.23,14.68,13.46,15.75
ALLSKY_SFC_SW_DWN,2017,15.5,17.29,17.75,18.44,20.82,16.87,12.94,15.06,13.21,14.64,15.38,13.04,15.9
ALLSKY_SFC_SW_DWN,2018,13.71,15.85,18.62,19.98,16.9,14.97,14.6,16.31,16.46,15.45,15.25,12.87,15.91
ALLSKY_SFC_SW_DWN,2019,15.29,16.19,19.05,21.31,20.74,16.81,14.27,16.18,14.6,15.71,14.39,12.24,16.4
ALLSKY_SFC_SW_DWN,2020,12.39,15.69,19.21,18.89,19.85,14.47,15.5,14.26,14.76,14.67,15.08,12.59,15.61
ALLSKY_SFC_SW_DWN,2021,12.84,16.8,18.13,21.77,19.74,12.57,15.06,14.49,15.1,15.8,15.42,12.63,15.85
ALLSKY_SFC_SW_DWN,2022,12.53,16.99,20.32,20.03,18.21,14.58,18.66,17.09,14.83,16.83,16.32,13.15,16.63
ALLSKY_SFC_SW_DWN,2023,12.93,16.91,17.08,21.07,19.53,14.6,18.53,11.83,14.53,14.86,14.15,12.36,15.68
ALLSKY_SFC_SW_DWN,2024,11.84,14.81,18.11,20.59,19.04,16.03,15.5,11.15,15.13,14.36,15.29,13.18,15.41
ALLSKY_SFC_SW_DWN,2025,12.83,15.35,19.22,18.66,18.02,15.26,13.13,14.97,15.85,16.2,16.01,-999,-999
GWETROOT,2011,0.63,0.51,0.43,0.44,0.55,0.77,0.97,0.99,0.98,0.89,0.71,0.57,0.7
GWETROOT,2012,0.49,0.43,0.4,0.47,0.52,0.63,0.87,0.97,0.98,0.9,0.76,0.62,0.67
GWETROOT,2013,0.52,0.45,0.4,0.39,0.69,0.94,0.97,0.99,0.98,0.97,0.86,0.7,0.74
GWETROOT,2014,0.58,0.48,0.42,0.38,0.44,0.76,0.98,0.98,0.97,0.92,0.75,0.61,0.69
GWETROOT,2015,0.52,0.45,0.41,0.48,0.53,0.69,0.99,0.99,0.99,0.95,0.81,0.67,0.71
GWETROOT,2016,0.56,0.49,0.46,0.47,0.65,0.96,1,1,0.99,0.97,0.93,0.8,0.77
GWETROOT,2017,0.67,0.54,0.63,0.75,0.92,1,1,1,1,0.99,0.89,0.85,0.86
GWETROOT,2018,0.76,0.63,0.48,0.56,0.86,1,0.99,0.98,0.98,0.93,0.81,0.68,0.81
